/home/plusai/personal/osqp/cmake-build-debug/osqp
INITIALIZATION FINISHED. 
DEFAULT SETTING FINISHED. 
UPDATE FINISHED. 
_update_xyz: 0.000029 
_update_info: 0.000645 
_update_xztilde: 0.000100 
_update_xyz: 0.000030 
_update_info: 0.000646 
_update_xztilde: 0.000101 
_update_xyz: 0.000030 
_update_info: 0.000651 
_update_xztilde: 0.000103 
_update_xyz: 0.000030 
_update_info: 0.000646 
_update_xztilde: 0.000100 
_update_xyz: 0.000029 
_update_info: 0.000646 
_update_xztilde: 0.000100 
_update_xyz: 0.000029 
_update_info: 0.000646 
_update_xztilde: 0.000100 
_update_xyz: 0.000030 
_update_info: 0.000646 
_update_xztilde: 0.000099 
_update_xyz: 0.000030 
_update_info: 0.000665 
_update_xztilde: 0.000120 
_update_xyz: 0.000034 
_update_info: 0.000638 
_update_xztilde: 0.000112 
_update_xyz: 0.000033 
_update_info: 0.000648 
_update_xztilde: 0.000160 
_update_xyz: 0.000045 
_update_info: 0.000607 
_update_xztilde: 0.000161 
_update_xyz: 0.000045 
_update_info: 0.000597 
_update_xztilde: 0.000157 
_update_xyz: 0.000044 
_update_info: 0.000605 
_update_xztilde: 0.000158 
_update_xyz: 0.000045 
_update_info: 0.000607 
_update_xztilde: 0.000160 
_update_xyz: 0.000045 
_update_info: 0.000595 
_update_xztilde: 0.000161 
_update_xyz: 0.000045 
_update_info: 0.000593 
_update_xztilde: 0.000155 
_update_xyz: 0.000045 
_update_info: 0.000600 
_update_xztilde: 0.000182 
_update_xyz: 0.000046 
_update_info: 0.000569 
_update_xztilde: 0.000157 
_update_xyz: 0.000046 
_update_info: 0.000600 
_update_xztilde: 0.000153 
_update_xyz: 0.000045 
_update_info: 0.000599 
_update_xztilde: 0.000154 
_update_xyz: 0.000044 
_update_info: 0.000605 
_update_xztilde: 0.000161 
_update_xyz: 0.000046 
_update_info: 0.000608 
_update_xztilde: 0.000169 
_update_xyz: 0.000046 
_update_info: 0.000587 
_update_xztilde: 0.000157 
_update_xyz: 0.000044 
_update_info: 0.000604 
_update_xztilde: 0.000160 
_update_xyz: 0.000046 
_update_info: 0.000595 
_update_xztilde: 0.000159 
_update_xyz: 0.000046 
_update_info: 0.000595 
_update_xztilde: 0.000157 
_update_xyz: 0.000046 
_update_info: 0.000595 
_update_xztilde: 0.000158 
_update_xyz: 0.000046 
_update_info: 0.000592 
_update_xztilde: 0.000161 
_update_xyz: 0.000046 
_update_info: 0.000593 
_update_xztilde: 0.000159 
_update_xyz: 0.000046 
_update_info: 0.000593 
_update_xztilde: 0.000153 
_update_xyz: 0.000044 
_update_info: 0.000601 
_update_xztilde: 0.000152 
_update_xyz: 0.000044 
_update_info: 0.000604 
_update_xztilde: 0.000161 
_update_xyz: 0.000047 
_update_info: 0.000598 
_update_xztilde: 0.000157 
_update_xyz: 0.000045 
_update_info: 0.000600 
_update_xztilde: 0.000147 
_update_xyz: 0.000043 
_update_info: 0.000609 
_update_xztilde: 0.000144 
_update_xyz: 0.000042 
_update_info: 0.000597 
_update_xztilde: 0.000119 
_update_xyz: 0.000043 
_update_info: 0.000636 
_update_xztilde: 0.000150 
_update_xyz: 0.000043 
_update_info: 0.000601 
_update_xztilde: 0.000111 
_update_xyz: 0.000032 
_update_info: 0.000634 
_update_xztilde: 0.000105 
_update_xyz: 0.000031 
_update_info: 0.000640 
_update_xztilde: 0.000104 
_update_xyz: 0.000030 
_update_info: 0.000648 
_update_xztilde: 0.000107 
_update_xyz: 0.000031 
_update_info: 0.000643 
_update_xztilde: 0.000105 
_update_xyz: 0.000031 
_update_info: 0.000639 
_update_xztilde: 0.000104 
_update_xyz: 0.000031 
_update_info: 0.000638 
_update_xztilde: 0.000104 
_update_xyz: 0.000030 
_update_info: 0.000641 
_update_xztilde: 0.000105 
_update_xyz: 0.000033 
_update_info: 0.000643 
_update_xztilde: 0.000105 
_update_xyz: 0.000031 
_update_info: 0.000644 
_update_xztilde: 0.000104 
_update_xyz: 0.000031 
_update_info: 0.000647 
_update_xztilde: 0.000104 
_update_xyz: 0.000030 
_update_info: 0.000638 
_update_xztilde: 0.000104 
_update_xyz: 0.000031 
_update_info: 0.000638 
_update_xztilde: 0.000104 
_update_xyz: 0.000030 
_update_info: 0.000646 
_update_xztilde: 0.000103 
_update_xyz: 0.000030 
_update_info: 0.000651 
_update_xztilde: 0.000104 
_update_xyz: 0.000031 
_update_info: 0.000648 
_update_xztilde: 0.000103 
_update_xyz: 0.000030 
_update_info: 0.000638 
_update_xztilde: 0.000104 
_update_xyz: 0.000031 
_update_info: 0.000639 
_update_xztilde: 0.000103 
_update_xyz: 0.000030 
_update_info: 0.000646 
_update_xztilde: 0.000104 
_update_xyz: 0.000031 
_update_info: 0.000642 
_update_xztilde: 0.000105 
_update_xyz: 0.000031 
_update_info: 0.000642 
_update_xztilde: 0.000106 
_update_xyz: 0.000030 
_update_info: 0.000642 
_update_xztilde: 0.000105 
_update_xyz: 0.000031 
_update_info: 0.000647 
_update_xztilde: 0.000103 
_update_xyz: 0.000030 
_update_info: 0.000646 
_update_xztilde: 0.000103 
_update_xyz: 0.000030 
